 Question,Long Answer,Short Answer,Source,Prompts,QnaId,ContextNeeded,InCourse
چگونه دلبستگی به فرهنگ‌های مختلف مرتبط است؟,"در فرهنگ‌های غربی، معمولاً تأکید می‌شود که یک دلبستگی به مادر به عنوان مراقب اصلی اهمیت دارد. با این حال، پژوهش‌ها نشان می‌دهد که داشتن چندین مراقب‌گر می‌تواند منجر به کودکانی با دلبستگی امن و تطابق عاطفی خوب شود. مطالعات در اسرائیل، هلند و شرق آفریقا نشان داده‌اند که کودکانی که چندین مراقب‌گر دارند، نه تنها احساس امنیت می‌کنند بلکه دیدگاه گسترده‌تری از جهان توسعه می‌دهند. این موضوع در جوامع شکارچی-گردآورنده مشاهده می‌شود، مثل جامعه‌های روستایی تانزانی که افراد مختلف در مراقبت از کودکان کمک می‌کنند. در مناطقی مانند هند غیر-متروپولیتن، جایی که خانواده‌های گسترده شایع هستند، کودکان چندین مراقب‌گر دارند، از جمله پدربزرگ‌ها و دیگر اقوام، که توسعه اجتماعی و عاطفی آن‌ها را غنی می‌کنند. با وجود تفاوت‌های فرهنگی، پژوهش‌ها از جنبه‌های جهانی نظریه دلبستگی حمایت می‌کنند. آنها نشان می‌دهند که داشتن دلبستگی امن مطلوب و رایج است، حساسیت مادر نقشی در تأثیر الگوهای دلبستگی دارد و دلبستگی‌های خاص در دوران کودکی می‌توانند مهارت‌های اجتماعی و شناختی آینده را پیش‌بینی کنند.","پژوهش‌ها نشان داده‌اند که کودکان می‌توانند با چندین مراقب‌گر دلبستگی امنی برقرار کنند که به وسیله آن از محدوده مادر فراتر می‌روند.  این موضوع در فرهنگ‌های مختلفی مانند فرهنگ‌های آسیایی مانند هند، که خانواده‌های گسترده شایع هستند و کودکان چندین مراقب‌گر دارند که شامل پدربزرگ‌ها و سایر خویشاوندان هستند، مشاهده می‌شود.  با وجود تفاوت‌های فرهنگی، پژوهش‌ها حمایت می‌کنند از جنبه‌های جهانی نظریه دلبستگی: دلبستگی امن مطلوب و رایج است، حساسیت مادر نقشی در تأثیر الگوهای دلبستگی دارد و دلبستگی‌های خاص در دوران کودکی می‌توانند مهارت‌های اجتماعی و شناختی آینده را پیش‌بینی کنند.",https://en.wikipedia.org/wiki/Attachment_theory,[],16,FALSE,FALSE
اهمیت الگوهای دلبستگی چیست؟,"پژوهش‌ها نشان داده‌اند که الگوهای دلبستگی نقش حیاتی در توسعه کودکان ایفا می‌کنند. دلبستگی ناامن می‌تواند چالش‌ها را به همراه بیاورد و رابطه‌های آینده را در معرض خطر قرار دهد، در حالی که دلبستگی امن اجتماعی مهارت و آسایش کلی را تقویت می‌کند. روابط هم‌سن و سالار، کیفیت مراقبت‌های والدینی و محیط خانوادگی نیز بر نتایج مرتبط با انواع الگوهای دلبستگی مؤثر هستند.",,https://en.wikipedia.org/wiki/Attachment_theory,[],23,FALSE,FALSE
دلبستگی امن در بزرگسالان چیست؟,"بزرگسالان دارای دلبستگی امن به شدت نیازمند دستیابی به موفقیت هستند و کمتر از ترس شکست رنج می‌برند. آن‌ها به طرح‌ریزی وظایف با نگاه مثبت نزدیک می‌شوند، در محیط‌های دستیابی مختلف به کاوش می‌پردازند و احساسات خود را کنترل می‌کنند. در روابط عاطفی، در حل و فصل منازعات، ارتباط و برآورده کردن نیازهای شریک عاطفی خود عالی هستند. آن‌ها ارزش دادن به اندیشه متقابلیت و احتمالاً کمتر در روابط جنسی غیررسمی یا امور معاشرتی خارج از ازدواج را نشان می‌دهند. داشتن حداقل یک شریک با دلبستگی امن باعث بهبود عملکرد سالم رابطه می‌شود، در حالی که روابط دیگر با الگوهای دلبستگی ناامن عموماً تجربه دینامیک‌های منفی می‌شوند. به طور کلی، افراد با دلبستگی امن تحمل‌پذیر، مهربان و روابط خوش‌بختی را حفظ می‌کنند.",,https://en.wikipedia.org/wiki/Attachment_theory,"[{""DisplayOrder"":2,""QnaId"":25,""DisplayText"":""anxious-preoccupied""}, {""DisplayOrder"":2,""QnaId"":26,""DisplayText"":""dismissive-avoidant""}, {""DisplayOrder"":2,""QnaId"":27,""DisplayText"":""fearful-avoidant""}]",24,FALSE,FALSE
دلبستگی نگران-تمایل‌دار در بزرگسالان چیست؟,"بزرگسالان نگران-تمایل‌دار به دنبال ایجاد اندوختگی و تأییدیه بالا از شریکان هستند و اغلب بیش از حد به تأثیرگذاری از طرف شریک خود متکی می‌شوند. آن‌ها کمتر از اعتماد به نفس برخوردار هستند، احساسات ثبات پایینی دارند و در روابط احساسات چاپلوسی، نگرانی و بی‌انضباطی نشان می‌دهند. روابط آن‌ها به دلیل شدت یا ناپایداری، آن‌ها را آسیب‌پذیر می‌کند و تمایل به بیش‌اندیشیدن دارند و ممکن است در خودشکنی و خودسرزندگی دخیل باشند. افراد نگران-تمایل‌دار معمولاً به دنبال شرکای اجتناب‌گر هستند.",,https://en.wikipedia.org/wiki/Attachment_theory,"[{""DisplayOrder"":1,""QnaId"":24,""DisplayText"":""secure attachment in adults""},{""DisplayOrder"":2,""QnaId"":26,""DisplayText"":""dismissive-avoidant""}, {""DisplayOrder"":2,""QnaId"":27,""DisplayText"":""fearful-avoidant""}]",25,FALSE,FALSE
دلبستگی اجتناب‌گر در بزرگسالان چیست؟,"بزرگسالان اجتناب‌گر به اولویت دادن به استقلالیت، کنترل احساسات و اجتناب از ارتباطات نزدیک می‌پردازند. آن‌ها اعتقاد به خودکفایی قوی دارند، به دیگران اعتماد ندارند و به دنبال اتکاء به خود هستند. این افراد از اتصال عاطفی کاسته کرده و از نزدیکی به صورت فعال اجتناب می‌کنند و ممکن است نسبت به نظرات دیگران بی‌تفاوت باشند. افراد اجتناب‌گر در فعالیت‌های کم‌احتمالی از نظر احساسی شرکت می‌کنند و گزارش می‌دهند که از تماس‌های بدنی کم‌تر لذت می‌برند.",,https://en.wikipedia.org/wiki/Attachment_theory,"[{""DisplayOrder"":1,""QnaId"":24,""DisplayText"":""secure attachment in adults""},{""DisplayOrder"":2,""QnaId"":25,""DisplayText"":""anxious-preoccupied""}, {""DisplayOrder"":2,""QnaId"":27,""DisplayText"":""fearful-avoidant""}]",26,FALSE,FALSE
دلبستگی اجتناب‌گر-ترسناک در بزرگسالان چیست؟,"بزرگسالان اجتناب‌گر-ترسناک احساسات ترکیبی درباره روابط نزدیک دارند و همزمان از نزدیکی عاطفی خواستار هستند و احساس ناراحتی از آن دارند. آن‌ها به شریکان خود بی‌اعتماد هستند و خود را ارزشمند نمی‌دانند. مشابه بزرگسالان اجتناب‌گر، بزرگسالان اجتناب‌گر-ترسناک هم به دنبال کمتر کردن نزدیکی هستند و احساسات خود را سرکوب می‌کنند.",,https://en.wikipedia.org/wiki/Attachment_theory,"[{""DisplayOrder"":1,""QnaId"":24,""DisplayText"":""secure attachment in adults""},{""DisplayOrder"":2,""QnaId"":25,""DisplayText"":""anxious-preoccupied""}, {""DisplayOrder"":2,""QnaId"":26,""DisplayText"":""dismissive-avoidant""}]",27,FALSE,FALSE
چگونگی روابط بین افراد با انواع دلبستگی مختلف چگونه است؟,"در روابط، افراد ناامن معمولاً با دیگرانی که همچنین ناامن هستند، همکاری می‌کنند، در حالی که افراد امن به‌طور معمول با شرکا امن همراه هستند. روابط ناامن معمولاً پایدار هستند اما کمتر از نظر عاطفی رضایت بخش هستند. انواع دلبستگی از ابتدای رابطه تاثیر گذار هستند و نیز رابطه میان پایان یک رابطه تاثیرگذار است. دلبستگی امن توانایی بهتری در حل اختلافات، توانایی خروج از روابط ناخوشایند و مواجهه موفق با از دست دادن رابطه را ممکن می‌سازد. انواع دلبستگی همچنین رفتارهای مراقبت‌کنندگی را در روابط تحت تأثیر قرار می‌دهند.",,https://en.wikipedia.org/wiki/Attachment_theory,[],28,FALSE,FALSE
چگونه دلبستگی را ارزیابی و اندازه‌گیری کنیم؟,روش‌های مختلفی برای اندازه‌گیری دلبستگی بزرگسالان وجود دارد که شامل پرسش‌نامه‌ها و مصاحبه‌های کدگذاری‌شده هستند. این ابزارها به عنوان ابزارهای تحقیقی ایجاد شده‌اند و برای اهداف مختلفی به‌کار می‌روند، به ویژه درباره‌ی روابط عاطفی عاشقانه، دوستانه، والدینی یا همسالانه تمرکز می‌کنند. برخی از ابزارها دلبستگی ذهنی بزرگسال را بر اساس تجربیات کودکی ارزیابی می‌کنند، در حالی که دیگران رفتارها و امنیت در روابط با والدین و همسالان را ارزیابی می‌کنند.,,https://en.wikipedia.org/wiki/Attachment_theory,[],29,FALSE,FALSE
نحوه ارتباط دلبستگی بزرگسالان با ویژگی‌های دیگر چگونه است؟,سبک‌های دلبستگی بزرگسالان به تفاوت‌های فردی در نحوه‌ی تجربه و مدیریت احساسات ارتباط دارند. اطلاعات اخیر نشان داده‌اند که سبک‌های دلبستگی ناامن با هوش هیجانی پایین ارتباط دارند.,,https://en.wikipedia.org/wiki/Attachment_theory,[],30,FALSE,FALSE
چگونه دلبستگی با جرایم جنایی مرتبط است؟,دلبستگی با جرایم جنایی، به ویژه در روابط نزدیک، ارتباط دارد. الگوهای دلبستگی اختلال‌دهنده در دوران کودکی خطر افزایش خشونت خانگی را افزایش می‌دهد. عواملی مانند کمبود حمایت همسر، کمبود عشق مادری و کم‌خودارزی پیش‌بینی‌کننده خشونت مردانه هستند. جنایتکاران با سبک‌های دلبستگی انکاری، به توصیفی توهین‌آمیز و خشن می‌پردازند. مرتکبان جنایات جنسی معمولاً دلبستگی ناامنی دارند و سبک‌های دلبستگی پریشانی معمولی هستند.,,https://en.wikipedia.org/wiki/Attachment_theory,[],37,FALSE,FALSE
چه کسانی می‌توانند دلبستگی ایجاد کنند؟,اگرچه معمولاً مادر به عنوان شکل‌گیرنده‌ی اصلی دلبستگی شناخته می‌شود، کودکان می‌توانند به هر نگه‌دارنده‌ای که در تعاملات اجتماعی با آن‌ها حساس و واکنش‌پذیر باشد، دلبستگی ایجاد کنند.,,Editorial,[],172,FALSE,FALSE
چه سبک‌های دلبستگی مختلف در دوران نوجوانی وجود دارد؟,در دوران نوجوانی، می‌توان سبک‌های دلبستگی مختلف را مشاهده کرد: نوجوانان امن، مادر خود را به عنوان منبع اصلی پشتیبانی دلبستگی خود می‌بینند. نوجوانان ناامن، بیشتر به همتایان خود برای پشتیبانی دلبستگی نیازمند هستند. نوجوانان انکاری، والدین خود را کم‌اهمیت‌تر در ارائه پشتیبانی دلبستگی می‌بینند. نوجوانان پیش‌گرفته، والدین خود را به عنوان منبع اصلی پشتیبانی دلبستگی خود در نظر می‌گیرند.,,Editorial,[],173,FALSE,FALSE
سبک‌های مختلف دلبستگی در نوزادان چه هستند؟,چهار سبک دلبستگی مختلف وجود دارند: دلبستگی امن، دلبستگی نگران یا دلبستگی تنومند، دلبستگی دوری‌جو و دلبستگی نامنظم.,,Editorial,"[{""DisplayOrder"":1,""QnaId"":175,""DisplayText"":""secure attachment in infants""},{""DisplayOrder"":2,""QnaId"":176,""DisplayText"":""anxious or ambivalent attachment""}, {""DisplayOrder"":2,""QnaId"":177,""DisplayText"":""avoidant attachment""},{""DisplayOrder"":2,""QnaId"":178,""DisplayText"":""disorganized attachment""}]",174,FALSE,FALSE
دلبستگی امن در نوزادان چیست؟,در نوزادان، دلبستگی امن به معنای راحتی و آزادی نوزاد در بررسی محیط اطرافش هستند و در حضور مراقب آشنا به اکتشاف بیشتر می‌پردازند. این نوزادان با افراد غریبه هم ارتباط برقرار می‌کنند. اما وقتی که مراقب از نوزاد دور می‌شود، نوزاد ناراحت می‌شود و با بازگشت مراقب، خوشحالی نشان می‌دهد. نحوه اعتنای مراقب به نیازهای نوزاد، به شکل پیوسته و مداوم، اثر مهمی بر روی تشکیل دلبستگی امن دارد. این مراقبت و پاسخگویی مستمر، احساس امنیت و اعتماد در نوزاد ایجاد می‌کند و او را قادر می‌سازد که به محیط اطرافش با اطمینان نگاه کند و در صورت نیاز، به مراقب خود اعتماد کند. دلبستگی امن در نوزادان باعث تقویت انعطاف‌پذیری و مهارت‌های موثر در مواجهه با موقعیت‌های مختلف می‌شود. والدین مهربان و مواظب در دوران نوزادی و کودکی از دسته‌بندی دلبستگی امن در فرزندان بهبود و تقویت می‌کنند.,دلبستگی امن در نوزادان به معنای راحتی و آزادی نوزاد در بررسی محیط اطرافش هستند و در حضور مراقب آشنا به اکتشاف بیشتر می‌پردازند. آنها نشانه‌های ناراحتی نشان می‌دهند زمانی که مراقب از نوزاد دور می‌شود و با بازگشت مراقب، به طور طبیعی، احساس راحتی و خوشحالی می‌کنند. دلبستگی امن در نوزادان زمانی شکل می‌گیرد که مراقبان به صورت پیوسته و پاسخگو نیازهای نوزاد را برآورده می‌کنند و این ارتباط منجر به ایجاد احساس امنیت و اعتماد در نوزاد می‌شود.,Editorial,"[{""DisplayOrder"":2,""QnaId"":176,""DisplayText"":""anxious or ambivalent attachment""}, {""DisplayOrder"":2,""QnaId"":177,""DisplayText"":""avoidant attachment""},{""DisplayOrder"":2,""QnaId"":178,""DisplayText"":""disorganized attachment""}]",175,FALSE,FALSE
چیستی دلبستگی نگران یا متذبذب؟,دلبستگی نگران یا دلبستگی مبهم به معنای کاهش اکتشافات نوزاد و مراقبت مرتبط با غریبه‌ها حتی در حضور مراقب آشنا است. زمانی که مراقب از نوزاد دور می‌شود، نوزاد به شدت ناراحت می‌شود و اغلب گریه و فریاد می‌زند. با بازگشت مراقب، رفتار مبهمی نشان می‌دهد. این نوع دلبستگی به عنوان یک استراتژی مشروط برای حفظ دسترسی مراقب به نوزاد شکل می‌گیرد. پژوهش‌ها نشان می‌دهند که کودکانی که تجربه‌های ناراحت‌کننده در دوران کودکی داشته‌اند، به احتمال بیشتری دچار دلبستگی مبهم می‌شوند. این کودکان در بزرگسالی ممکن است با چالش‌ها در حفظ روابط صمیمی مواجه شوند.,,Editorial,"[{""DisplayOrder"":1,""QnaId"":175,""DisplayText"":""secure attachment in infants""}, {""DisplayOrder"":2,""QnaId"":177,""DisplayText"":""avoidant attachment""},{""DisplayOrder"":2,""QnaId"":178,""DisplayText"":""disorganized attachment""}]",176,FALSE,FALSE
دلبستگی دوری‌گرا چیست؟,"کودکان با الگوی دلبستگی دوری‌گرا تمایل دارند که از نگه‌دارنده خود دوری کنند یا او را نادیده بگیرند و در هنگام جدایی یا ملاقات مجدد حساسیت کمی نشان می‌دهند. آنها با وجود حضور کسی در اطراف خود، به کاوش‌های محدود می‌پردازند. این رفتار می‌تواند به عنوان یک پوشش برای حالت اندوهی پنهان شده نشان دهنده دیگر بوده و مطالعات نشان داده‌اند که نوزادان دوری‌گرا تنها گزارشات افزایش ضربان قلب دارند. نوزادان دوری‌گرا تجربه دلبستگی غیر پاسخ‌دهنده داشته‌اند، که باعث می‌شود آنها باور داشته باشند بیان نیازهای هیجانی خود هیچ تأثیری بر روی نگه‌دارنده ندارد. دوری‌گرایی در این کودکان دو وظیفه دارد: حفظ نزدیکی شرطی به نگه‌دارنده برای حفاظت از خود در عین حال اجتناب از رد شدن احتمالی، و جلب توجه از آرزوهای ناپدید برای نزدیکی به منظور جلوگیری از احساسات غمگین فراوان.",دلبستگی دوری‌گرا در نوزادان به این صورت مشخص می‌شود که نوزاد از نگه‌دارنده خود دوری کرده و او را نادیده می‌گیرد، و در زمان جدایی و ملاقات مجدد حساسیت کمی نشان می‌دهد. این نوع دلبستگی در نتیجه پاسخ‌دهی ناپایدار نگه‌دارنده به نیازهای نوزاد شکل می‌گیرد، که باعث می‌شود نوزاد باور داشته باشد که بیان احساسات تأثیری ندارد.,Editorial,"[{""DisplayOrder"":1,""QnaId"":175,""DisplayText"":""secure attachment in infants""},{""DisplayOrder"":2,""QnaId"":176,""DisplayText"":""anxious or ambivalent attachment""}, {""DisplayOrder"":2,""QnaId"":178,""DisplayText"":""disorganized attachment""}]",177,FALSE,FALSE
دلبستگی نامنظم چیست؟,دلبستگی نامنظم در نوزادان به الگوی رفتاری اشاره دارد که در آن پاسخ‌های نوزاد به نظر نا منظم، متناقض یا با اختلال هستند. این نوع دلبستگی ممکن است شامل نشانه‌های ترس، رفتارهای نامنظم، حرکات غیرمعمول، لرزش، یا به نظر رسیدن محو شدن باشد. تمام نوزادان نامنظم نشان دهنده رفتار آشکاراً نیازهای دوطرفه ندارند، زیرا برخی از آن‌ها ممکن است هنوز در حضور نگه‌دارنده به دنبال آرامش و متوقف کردن اضطراب باشند.,,Editorial,"[{""DisplayOrder"":1,""QnaId"":175,""DisplayText"":""secure attachment in infants""},{""DisplayOrder"":2,""QnaId"":176,""DisplayText"":""anxious or ambivalent attachment""}, {""DisplayOrder"":2,""QnaId"":177,""DisplayText"":""avoidant attachment""}]",178,FALSE,FALSE
چند تمرین وجود دارد؟,در دوره "نظریه خود دلبستگی"، کلیه تمرین‌ها مجموعاً 26 تمرین هستند.,,Editorial,[],179,FALSE,FALSE
نظریه خود دلبستگی چیست؟,"نظریه خود دلبستگی (SAT) یک روش خودکمکی است که به افراد کمک می‌کند تا احساسات خود را تنظیم کنند با ارتباط برقرار کردن با "خود کودکی" خود که به "کودک" و "خود بزرگسال" خود که به "بزرگسال" شناخته می‌شود. این شامل ایجاد ارتباط با کودک و شرکت در جلسات تمرین روزانه برای به دست آوردن نقش والدینی برای کودک، بازنگری در تجارب و باورها و تقویت احساسات و رفتارهای مثبت است. خود دلبستگی رابطه دلبستگی امن بین یک کودک و یک والد خوب را شبیه‌سازی می‌کند، تا بزرگسال را به یک والد تبدیل کند که می‌تواند در توسعه احساسی کودک کمک کند.",تکنیک خود دلبستگی (SAT) یک روش خودکمکی برای بهبود سلامتی روانی است. هدف این تکنیک، به افراد کمک کند تا احساسات خود را تنظیم کنند با ارتباط برقرار کردن با "خود کودکی" خود که به "کودک" و "خود بزرگسال" خود که به "بزرگسال" شناخته می‌شود. این شامل ایجاد ارتباط با کودک و شرکت در جلسات تمرین روزانه برای به دست آوردن نقش والدینی برای کودک است.,Editorial,"[{""DisplayOrder"":1,""QnaId"":2,""DisplayText"":""what is attachment""},{""DisplayOrder"":2,""QnaId"":184,""DisplayText"":""stages of self-attachment""}, {""DisplayOrder"":2,""QnaId"":300,""DisplayText"":""lesson 1""}]",180,FALSE,FALSE
نظریه خود دلبستگی چیست؟,"تکنیک خود دلبستگی (SAT) روشی خودکمکی برای بهبود سلامت روانی است. هدف این تکنیک کمک به افراد در تنظیم احساسات خود است با ارتباط برقرار کردن با "خود کودکی" که به "کودک" و "خود بزرگسال" که به "بزرگسال" شناخته می‌شود. این شامل ایجاد ارتباط با کودک و شرکت در جلسات تمرین روزانه برای پرورش مجدد کودک، بازنگری در تجربیات و باورهای گذشته و کشتن احساسات و رفتارهای مثبت است. خود دلبستگی تعامل امن بین یک کودک و یک والد خوب را شبیه‌سازی می‌کند تا بزرگسال به نقش والدینی تبدیل شود که می‌تواند در توسعه عاطفی کودک کمک کند.",تکنیک خود دلبستگی (SAT) یک روش خودکمکی برای بهبود سلامت روانی است. هدف این روش کمک به افراد در تنظیم احساسات خود است با برقراری ارتباط با "خود کودکی" شناخته شده به عنوان "کودک" و "خود بزرگسال" شناخته شده به عنوان "بزرگسال". این روش شامل ایجاد ارتباط با کودک و شرکت در جلسات تمرین روزانه برای پرورش مجدد کودک می‌شود.,Editorial,"[{""DisplayOrder"":1,""QnaId"":2,""DisplayText"":""what is attachment""},{""DisplayOrder"":2,""QnaId"":184,""DisplayText"":""stages of self-attachment""}, {""DisplayOrder"":2,""QnaId"":300,""DisplayText"":""lesson 1""}]",180,FALSE,FALSE
